linker,source,pos,ptclass,sense,other_senses,other_pos,semfield1,subsense1,semfield2,subsense2
в надежде на то что,ЕФР,союз,,"речь идет о чем-л. желаемом, соединенном с уверенностью в возможности осуществления",NA,NA,цель,NA,NA,NA
в общем,АГ-80,аналог союза,,"вводит последний член ряда и замыкает ряд, обобщение",NA,NA,мереология,генерализация,NA,NA
в одном случае... в другом случае,АГ-80,союзное соединение,,сопоставительный несходства,NA,NA,дизъюнкция,NA,NA,NA
в особенности,АГ-80,вводное сочетание слов,,"выделительный, включение",NA,NA,мереология,конкретизация,NA,NA
в отношении того что,АГ-80,союз,,NA,NA,NA,переформулирование,NA,NA,NA
в отношении того что,ЕФР,союз,,говорится о направленности действия на что-л.,NA,NA,переформулирование,NA,NA,NA
в первую очередь,АГ-80,вводное сочетание слов,,"выделительный, включение",NA,NA,мереология,конкретизация,NA,NA
в подтверждение того что,БТС,в значении союза,,подтверждение чего-л.,NA,NA,цель,NA,NA,NA
в подтверждение того что,ЕФР,союз,,подтверждается что-л.,NA,NA,переформулирование,NA,NA,NA
в противном случае,БТС,союз,,"иначе, а то",NA,NA,заместительные отношения,NA,NA,NA
в противном случае,ЕФР,союз,,"соединение предложений (во втором из которых действие или событие могло бы произойти, если бы препятствием для него не послужило реальное действие или событие первого предложения): а то, иначе,",NA,NA,заместительные отношения,NA,NA,NA
в противном случае,ЕФР,союз,,противопоставление или сопоставление: иначе,NA,NA,адверсативность,противительность,конъюнкция,сопоставление
в противном случае,ЕФР,союз,,"подчеркивает важность последующей части высказывания: а не то, а иначе",NA,NA,заместительные отношения,NA,NA,NA
в противном случае,ЕФР,союз,,"чередование действий: или же, а то",NA,NA,дизъюнкция,NA,NA,NA
в противовес тому что,АГ-80,союз,,NA,NA,NA,адверсативность,противительность,NA,NA
в противоположность тому как,АГ-80,союз,,NA,NA,NA,адверсативность,противительность,NA,NA
в противоположность тому что,АГ-80,союз,,NA,NA,NA,адверсативность,противительность,NA,NA
в расчёте на то что,ЕФР,союз,,предполагаемая причина действия главной части,NA,NA,причина,собственно причина,причина,обоснование
в результате того что,БТС,в значении союза,,вследствие того что; из-за того что,NA,NA,причина,собственно причина,причина,обоснование
в результате того что,АГ-80,союз,,NA,NA,NA,причина,собственно причина,причина,обоснование
в результате того что,ЕФР,союз,,"причина, являющаяся практическим результатом действия",NA,NA,причина,собственно причина,NA,NA
в результате чего,ЕФР,союз,,"результат действия, о котором говорится в главной части",NA,NA,причина,результат,NA,NA
в связи с тем что,БТС,в значении союза,,"по той причине, что, на основании того, что",NA,NA,причина,собственно причина,причина,обоснование
в связи с тем что,АГ-80,союз,,NA,NA,NA,причина,собственно причина,причина,обоснование
в связи с тем что,ЕФР,союз,,"причина (обусловливающая действие главной части): так как, вследствие того что, по той причине что",NA,NA,причина,обоснование,причина,собственно причина
в связи с тем чтобы,БТС,в значении союза,,в целях того чтобы,NA,NA,цель,NA,NA,NA
в связи с чем,ЕФР,союз,,"непосредственное следствие, вытекающее из действия главной части: поэтому, вследствие чего, по этой причине",NA,NA,следствие,NA,NA,NA
в силу того что,БТС,в значении союза,,"по причине чего-л., из-за чего-л.",NA,NA,причина,собственно причина,причина,обоснование
в силу того что,АГ-80,союз,,NA,NA,NA,причина,собственно причина,причина,обоснование
в силу того что,ЕФР,союз,,причина (обусловливающая действие главной части): так как; в связи с тем что; из-за того что,NA,NA,причина,обоснование,причина,собственно причина
в случае если,АГ-80,союз,,NA,NA,NA,условие,реальное,условие,ирреальное
в случае если,ЕФР,союз,,реальное условие,NA,NA,условие,реальное,NA,NA
в сравнении с тем как,АГ-80,союз,,NA,NA,NA,сравнение,компаратив,NA,NA
в сравнении с тем что,АГ-80,союз,,NA,NA,NA,сравнение,компаратив,NA,NA
в тех целях чтобы,АГ-80,союз,,NA,NA,NA,цель,NA,NA,NA
в то время как,БТС,в значении союза,,"тогда как..., несмотря на то что...",NA,NA,адверсативность,уступка,адверсативность,противительность
в то время как,БТС,в значении союза,,одновременно с чем-л.,NA,NA,таксис,одновременность,NA,NA
в то время как,АГ-80,союз,,NA,NA,NA,таксис,одновременность,NA,NA
в то время как,ЕФР,союз,,"одновременность действия, зафиксированного в главной и придаточной частях: когда",NA,NA,таксис,одновременность,NA,NA
в то время как,ЕФР,союз,,сопоставление не соответствующих друг другу действий или явлений главной и придаточной частей: тогда как,NA,NA,конъюнкция,сопоставление,NA,NA
в то время как,ЕФР,союз,,противопоставление действий главной и придаточной части: хотя,NA,NA,адверсативность,уступка,адверсативность,противительность
в то же время,АГ-80,вводное сочетание слов,,NA,NA,NA,таксис,одновременность,NA,NA
в то же время,ЕФР,союз,,"одновременность действия, зафиксированного в главной и придаточной частях: когда","1. наряду с этим, вместе с тем",наречие,таксис,одновременность,NA,NA
